system_id,system_short,system,module_id,module,module_original,audit_status,evidence_strength,n_genes,n_cpg_rows,citation_keys,evidence_note,deep_search_url
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",Oxytocin and vasopressin peptides and receptors,renamed_for_mechanistic_precision,High,13,122,[Zin12]; [Iov20],The locked genes span the peptides/receptors plus prohormone processing and secretory-granule factors; the broader label matches the actual subprocess.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.2,CD38/cADPR-NAADP calcium mobilization for peptide release,CD38-cADPR route to oxytocin release,renamed_for_mechanistic_precision,High,6,106,[Hig07]; [Lop10]; [Sal10],BST1/CD38 and TPCN/TRPM2 genes extend beyond a narrow cADPR-only label to the linked intracellular calcium-mobilization machinery implicated in neuropeptide release.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.3,Gq-PLC-IP3 transduction,Gq-PLC-IP3 transduction,supported_as_named,High,13,396,[Iov20]; [Bri13],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.4,Ryanodine receptor CICR complex,Ryanodine receptor CICR complex,supported_as_named,High,16,212,[Tob12]; [Hig07],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.5,Calcium clearance and store refilling,Calcium clearance and store refilling,supported_as_named,High,12,222,[Bri13]; [Tob12],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.6,Store-operated calcium entry,Store-operated calcium entry,supported_as_named,High,5,63,[Ong19]; [Bri13],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.7,Voltage-gated calcium entry,Voltage-gated calcium entry,supported_as_named,High,7,320,[Tob12]; [Wan99],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.8,Calcium sensing and downstream decoding,Calcium decoding,renamed_for_mechanistic_precision,High,11,132,[Bri13]; [Tob12],"Calbindins, calmodulins, CaMKs and NOS1 are calcium sensors/effectors rather than one uniform decoder class; the revised label is more mechanistically exact.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
1,oxytocin,"Oxytocin, vasopressin & CICR",1.9,Dense-core vesicle release machinery,Dense-core vesicle release machinery,supported_as_named,High,7,130,[Tob12]; [Zin12],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.1,Hypothalamic CRH-family/PACAP drive and PVN neuroendocrine specification,H - hypothalamic CRH drive,renamed_for_mechanistic_precision,High,9,93,[Agu11]; [Her16],CRH/urocortins and PACAP signaling are combined with SIM1/OTP/ARNT2 developmental specification of hypothalamic neuroendocrine neurons.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.2,CRH-family receptors,CRH receptors,renamed_for_mechanistic_precision,High,2,51,[Agu11]; [Her16],"CRHR1 and CRHR2 are receptors for CRH-family ligands, including urocortins; this is more precise than 'CRH receptors' alone.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.3,P - pituitary corticotroph and POMC processing,P - pituitary corticotroph and POMC processing,supported_as_named,High,6,52,[Gal16]; [Her16],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.4,A - adrenal ACTH reception,A - adrenal ACTH reception,supported_as_named,High,3,19,[Gal16]; [Her16],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.5,Pre-receptor glucocorticoid regeneration,Pre-receptor cortisol amplification,renamed_for_mechanistic_precision,High,2,21,[Cha13]; [Her16],HSD11B1 with H6PD supports intracellular regeneration/amplification of active glucocorticoid before receptor binding.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.6,Corticosteroid receptors and receptor chaperone complex,Glucocorticoid receptor and chaperone complex,renamed_for_mechanistic_precision,High,13,107,[Fri17]; [Fad23],"The locked set contains both NR3C1 (GR) and NR3C2 (MR), together with HSP/FKBP/chaperone machinery; 'glucocorticoid receptor' alone was too narrow.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.7,Glucocorticoid transcriptional output,Glucocorticoid transcriptional output,supported_as_named,High,8,152,[Fad23]; [Her16],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
2,hpa,HPA axis & glucocorticoid signalling,2.8,"Feedback, glucocorticoid availability, transport and buffering",Negative feedback and ligand restriction,renamed_for_mechanistic_precision,High,6,49,[Kel15]; [Cha13]; [Her16],"The genes combine HPA feedback mediators with cortisol binding/transport, 11β-HSD2 inactivation and ABCB1 restriction; the former label collapsed several ligand-availability mechanisms.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
3,steroidogenesis,Steroidogenesis (adrenal & gonadal),3.1,Cholesterol supply and mitochondrial import,Cholesterol supply and mitochondrial import,supported_as_named,High,10,84,[Mil11]; [Pay04],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
3,steroidogenesis,Steroidogenesis (adrenal & gonadal),3.2,Electron transfer partners,Electron transfer partners,supported_as_named,High,5,50,[Mil11]; [Pay04],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
3,steroidogenesis,Steroidogenesis (adrenal & gonadal),3.3,Core steroidogenic enzymes,Core steroidogenic enzymes,supported_as_named,High,6,19,[Mil11]; [Pay04],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
3,steroidogenesis,Steroidogenesis (adrenal & gonadal),3.4,Transcriptional control of steroidogenesis,Transcriptional control of steroidogenesis,supported_as_named,High,6,130,[Mil11]; [Pay04],Retained after audit: the locked genes form a coherent subprocess matching the original module label.,https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
3,steroidogenesis,Steroidogenesis (adrenal & gonadal),3.5,Aldosterone synthesis and renin-angiotensin control,Mineralocorticoid arm and renin-angiotensin,renamed_for_mechanistic_precision,High,5,41,[Bol14]; [Spa04],"CYP11B2 is the aldosterone synthase, while REN/AGT/ACE/AGTR1 comprise upstream RAAS control; this names the actual mineralocorticoid arm.",https://app.undermind.ai/projects/4a4c1774-bd88-462d-889b-015f29a373b5?path=/Neuroendocrine%20endocrine%20module%20evidence
